Name,Disaster,Begin Date,End Date,Total loss Cost (Millions of Dollars),Deaths,Budget_asset
Western Wildfires (Summer-Fall 2012),Wildfire,20120601,20121130,2208,8,33800
Midwest/Southeast Tornadoes (March 2009),Severe Storm,20090325,20090328,2247.6,0,34000
Midwest Drought (Spring-Summer 2005),Drought,20050301,20050831,2256.5,0,34200
Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,20130527,20130531,2266.9,10,34400
Southern Flooding (May 1990),Flooding,19900511,19900519,2275.6,13,34600
Hurricane Gloria (September 1985),Tropical Cyclone,19850926,19850928,2311.5,11,34800
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2319.3,150,35000
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,20060406,20060408,2325.7,10,35200
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,20110601,20111130,2348.6,5,35400
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,20140603,20140605,2360.7,2,35600
Groundhog Day Blizzard (February 2011),Winter Storm,20110201,20110203,2386.4,36,35800
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,20090210,20090211,2401.4,10,36000
Central and Eastern Severe Weather (May 2020),Severe Storm,20200503,20200505,2408.7,2,36200
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,20151226,20151229,2432.8,50,36400
South Carolina and East Coast Flooding (October 2015),Flooding,20151001,20151005,2457.9,25,36600
Northeast Flooding (March 2010),Flooding,20100301,20100331,2489.7,11,36800
Northeast Ice Storm (January 1998),Winter Storm,19980105,19980109,2537.1,16,37000
North Texas Hail Storm (March 2016),Severe Storm,20160323,20160324,2539.7,0,37200
Southeast Severe Weather (March 2013),Severe Storm,20130318,20130318,2545.3,1,37400
Southern Severe Storms and Flooding (April 1980),Flooding,4/10/1980,4/17/1980,2551.4,7,37600
Northeast Winter Storm (March 2018),Winter Storm,20180301,20180303,2567,9,37800
Colorado Hail Storm (June 2018),Severe Storm,20180618,20180619,2578.7,0,38000
Southeast Drought and Heat Wave (Summer 1993),Drought,19930601,19930831,2578.9,16,38200
North Central Severe Weather (May 2022),Severe Storm,5/11/2022,5/12/2022,2588.7,1,38400
Midwest Tornado Outbreak (March 2017),Severe Storm,20170306,20170308,2611.2,2,38600
Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,20200302,20200304,2639.7,25,38800
Missouri River flooding (May-June 2011),Flooding,20110501,20110630,2663.1,5,39000
Midwest/Southeast Tornadoes (April 2011),Severe Storm,20110414,20110416,2677,38,39200
Southern Severe Weather (April 2022),Severe Storm,20220411,20220413,2677.7,1,39400
Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,20140105,20140108,2715.9,16,39600
California Wildfires (Fall 1993),Wildfire,19930901,19931130,2756.7,4,39800
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,20170609,20170611,2796.5,0,40000
Texas and Louisiana Flooding (March 2016),Flooding,20160308,20160312,2822.6,5,40200
Southeast/Midwest Tornadoes (April 2011),Severe Storm,20110408,20110411,2833.1,0,40400
Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,20200327,20200328,2890.8,0,40600
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,20160601,20161231,2898,21,40800
South/Southeast Tornadoes (April 2016),Severe Storm,20160426,20160502,2921.3,6,41000
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,20120525,20120530,2925.7,1,41200
Central Derecho (June 2022),Severe Storm,6/13/2022,6/13/2022,2936,1,41400
Minnesota Severe Storms/Hail (May 1998),Severe Storm,19980515,19980515,2936.3,1,41600
Spring Freeze (April 2007),Freeze,20070404,20070410,2943.5,0,41800
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,20170301,20171231,3000,0,42000
Midwest/Plains/East Tornadoes (May 2013),Severe Storm,20130518,20130522,3000.5,27,42200
East/South Flooding and Severe Weather (May 2010),Flooding,20100430,20100502,3059.6,32,42400
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,20150523,20150526,3125.6,31,42600
Hurricane Ian (September 2022),Tropical Cyclone,9/28/2022,9/30/2022,3189,131,42800
Severe Storms/Hail (April 2003),Severe Storm,20030404,20030407,3190,3,43000
Hurricane Delta (October 2020),Tropical Cyclone,20201009,20201011,3211,5,43200
Hurricane Bob (August 1991),Tropical Cyclone,19910818,19910820,3216.3,18,43400
